id,status,speaker,podcast,text
8d751ead-05de-4dbe-b675-da988a0bf813,pending,Unnamed Speaker,Adtech Adtalk,You can be wrong when you make 10 billion dollars a year after being wrong constantly.
0e1c1bc4-8491-4d26-8d29-df817da31dea,pending,Unnamed Speaker,Adtech Adtalk,"The future is well, you need to work with every single vendor."
a966950f-49e9-4735-b2da-aa66a194897f,pending,Unnamed Speaker,Adtech Adtalk,"I think ARTF is a reimagination of the ad tech company. It moves us past this notion of DSP, SSP, exchange; those things don't matter anymore."
f7fd00a0-9d28-468b-b91f-bec6fe15c965,pending,Unnamed Speaker,Adtech Adtalk,I refuse to believe that it's driving more real value for their advertisers this way.
7c5e91be-20a9-4d40-9d1b-494db3bccf45,pending,Unnamed Speaker,Adtech Adtalk,LinkedIn might have more utility as a vessel of sales pitches than as a professional networking tool.
71ac7cce-550f-45a6-a01b-09da69ad6678,pending,Unnamed Speaker,Adtech Adtalk,"Not all engagement is the same. This is a professional network, and you have to count professional engagement higher."
1b31eed0-1057-40e7-870c-77cd600bdedc,pending,Unnamed Speaker,Adtech Adtalk,Identity doesn't have to live inside a platform. Identity could be independent and modular and connect platforms.
ff2dfd99-c3f5-420a-9428-e2a64bbf383b,pending,Unnamed Speaker,Adtech Adtalk,What makes a workflow agentic is that the partners are trying to meet some intent. It's about bringing partners together to meet a specific purpose.
4f31ae0a-779a-4166-b5c1-62968080dade,pending,Unknown,The FPC Podcast,The logistical nightmare of trying to turn an ad tech business backwards into a vending company is probably not impossible.
8a7da59a-427e-478e-90e0-99540022c791,pending,Kieran,The FPC Podcast,Brand building becomes even more important than it was previously.
bc21ad93-e60f-467a-89f4-ad8cccf383af,pending,Host,The FPC Podcast,There's a huge shift here from traditional to digital that startups like Harry are playing into.
7ade33b5-02db-48f9-8bdf-58cd959dfe95,pending,Harry Maitland,The FPC Podcast,It's counterintuitive to jump in and out of our network because you're not going to get the full value.
86b6f802-70ff-4865-8a70-b5601aef3691,pending,Harry Maitland,The FPC Podcast,Sampling in a high targeted location with high footfall to consumers who are health conscious is a game changer.
1d30797c-f9e9-4781-898f-1fb14ed00b3b,pending,Harry Maitland,The FPC Podcast,"You can't rewire a bunch of apes like us, like that's taken like a million years to embed that behaviour in us."
cd46bdee-ba7b-42b1-848d-f67591feff37,pending,Kieran,The FPC Podcast,The best companies that are ad tech are the ones that don't realise they're in ad tech.
69e06357-5bf2-4635-83de-fab7c774ed91,pending,Harry Maitland,The FPC Podcast,We're finally good enough to make automated retail scalable and brand led.
711d3ff3-47b3-43fe-a361-06876a7063b3,pending,Matthew Egol,Marketecture,The biggest thing I hate is the surprise brand at the end... those ads just don't work. It's bad use of money.
111a22d9-0e52-4276-b713-41dde721c26c,pending,Matthew Egol,Marketecture,Human-centered design takes on a whole new meaning when like half the people there are bots.
6b01bd5a-a07c-4e79-8ddd-f7e1162a279c,pending,Matthew Egol,Marketecture,"We actually don't think there needs to be or really is a beef. There have been a lot of conversations, but we really want to focus on collaboration."
34ebdbd1-954a-4f73-8013-a6afc9ae3657,pending,Matt Eagle,Marketecture,"This is a bigger tent bringing people together, and when you look at what makes successful changes occur, there is actually a lot of the more change that occurs in the way work happens, not just the technology."
6c041408-af37-47c4-a17e-895be6a24dd8,pending,Unnamed,Marketecture,"The human brain is a memory-making machine that we think actually 95% of human thought is more emotional than rational. It's actually image-based, not word-based."
87b1acc5-3e4c-4d09-9314-f0aa82b1709f,pending,Matthew Egol,Marketecture,"AI has a really bad PR image right now. The normies do not like AI. The people like us are obsessed with it, and the normies hate it."
a77ccec7-6390-4d12-b1e4-a0a2ae17439c,pending,Matthew Egol,Marketecture,"We want to work together, we want to collaborate, but there's different folks involved in AEO. It's really around humans to govern autonomous systems responsibly."
e020bfb7-858a-42a6-942d-3e8b3d809276,pending,Matt Eagle,Marketecture,"The media business is being moved from more of a pure entertainment to more of a technology data-driven business. Advertising is still really important, but brands are publishers and brands are investing heavily in how does advertising connect with customer experience."
c4c70079-ee62-442b-a4ca-9f6702bad178,pending,Joe Hirsch,The Aperiam Podcast,"You realize you've got to sometimes have CMOs that are out talking about how important it is to fund news, and no one bothers looking down the set of partners that they work with where their allow list and block lists suppress all advertising on news."
9ae4b52c-9d98-4d09-8c71-9368a785aaea,pending,Joe Hirsch,The Aperiam Podcast,"Your dream doesn't have to make money on day one. You can attempt to see the future. You can chase it. And God willing, by the time you get to the finish line, there's something at the end of it."
3078ae4a-21a7-479b-b745-9fa1549305ad,pending,Joe Hirsch,The Aperiam Podcast,"If today the primary user of an ad platform is a human, it stands to reason that in the future, the primary user of an ad platform... will be an agent."
94ae3f48-7427-4b40-8d48-9ed351713eea,pending,Joe Hirsch,The Aperiam Podcast,"Publishers are motivated by money. And if they realize that there's this money that they're missing out on, that's the moment where they're like, man, we've really been left in the dust."
d8f71fa9-4ccb-43b1-8de1-9df99a90b696,pending,Joe Hirsch,The Aperiam Podcast,"If all agentic does is shift more dollars to working media and as a by-product of that, a larger percentage of every media buy goes to the publisher, is that not incentive enough to buy in that fashion?"
aff46f89-357b-4a99-83a1-eb42d13af46d,pending,Joe Hirsch,The Aperiam Podcast,"The ad product can say, oh, okay, you want to buy this niche audience for people that are interested in vintage Native American jewelry. There's only 3,600 of them. I'm going to create this ad product with this inventory package, and I'm going to say it's a $44 CPM. But a sophisticated trader who is willing to test that and see that that $44 CPM produces X outcome will be like, oh, well, I don't care that this costs $44. This is exactly what I'm looking for."
9706438b-3cbd-4898-95f1-b1aac1d48009,pending,Joe Hirsch,The Aperiam Podcast,"Every day, including today and tomorrow, that number only goes down. And it's not something that I'm necessarily excited about."
897dcb04-689b-4fb1-ba81-ed4715061473,pending,Joe Hirsch,The Aperiam Podcast,"With ADCP, theoretically, the barrier to entry to connecting an agent to an ad platform is reduced all the way to the ground such that anybody who can pick up something like flawed code can create an agent and connect to an ad platform and use natural language to interact with it."
a402bd18-bfa9-4a2a-be3c-532fa045fae2,pending,Unnamed Speaker,Open Market,"AI native companies can thrive by raising less money and moving faster, fundamentally changing the landscape of ad tech."
3b905253-fe54-4234-954c-04b6c701fba5,pending,Unnamed Speaker,Open Market,You want to be the strongest company in your category. But I empathize with the challenge that sometimes you just can't stay put.
cd3626af-0204-4744-b4cb-581f23db47e2,approved,Eric Franchee,Open Market,"Being an ad tech company might not be a minimum, might not be a bad thing, a maximum might actually be an awesome thing in the future."
5799ffaf-b997-4e82-a433-fd2089ae03a5,pending,Unnamed Speaker,Open Market,"If you lose sight of the reality of the business and you go entirely toward where you like wish you were, is that then you're the 20th strongest company in CTV."
cfe5cd5b-80f7-4b6c-8ddf-39b44b519b3a,pending,Unnamed Speaker,Open Market,What differentiates you within the existing category...can you take that creative DNA and that IP and then bring it into CTV?
35414af2-f317-44bd-99de-0a41b9e62d76,pending,Unnamed Speaker,Open Market,"Shifts tend to favor the new; incumbents are burdened with legacy tech and practices, which inhibit their ability to adapt quickly."
a09abe60-d043-443c-afa9-0695691519fc,pending,Unnamed Speaker,Open Market,You can't just start from like what type of company would get us the highest valuation. You really have to ground it in the strengths of the existing company.
77e0cc3b-7b7a-4a0c-90ba-8df036e5d99a,pending,Eric Franchee,Open Market,"If I lived my career on waiting until the ad tech sector was in favor with like Silicon Valley and generalist investors, I would not have done anything."
5cd5b169-53b3-4e8c-8584-0c2a86a82e32,pending,Kate Scott-Dawkins,AdTechGod Pod,"I'm constantly trying to pay attention and feed all of that in... It's exhausting, but also very rewarding."
f545165d-d0e8-4197-8b97-7a9ad281aba1,pending,Kate Scott-Dawkins,AdTechGod Pod,The amount of data that is produced and consumed in our world has only expanded.
c0c1d3c1-2736-4874-999c-4d8619d70ec5,pending,Kate Scott-Dawkins,AdTechGod Pod,I hope that it's a short-lived threat until people realize that AI-generated is simply that. AI-generated and authenticity has value to it.
